"sample","assigned_subtype","max_score","score","risk","subtype.subtype.score","subtype.subtype","subtype.Angiogenic.proba","subtype.nonAngiogenic.proba"
"9d007b37-ba7a-4e85-af1f-1c8aeadda990.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.986649965164104,0.142739552149146,0,0.142739552149146,"nonAngiogenic",0.0133500348358963,0.986649965164104
"86274ce9-71ad-45a7-88c4-956a1d8bce61.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.636020128535562,1,-0.636020128535562,"Angiogenic",0.98836850281601,0.01163149718399
"59fc9086-4b11-4e79-9b53-026e9e9fba53.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999965379609298,0.674214712209105,0,0.674214712209105,"nonAngiogenic",3.46203907017815e-05,0.999965379609298
"35f04f9f-3756-4d8d-858f-b49c4c94d4bd.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999917079537509,0.59643012718704,0,0.59643012718704,"nonAngiogenic",8.2920462491298e-05,0.999917079537509
"e11fea69-ccfa-4175-9184-bca06a4adbf8.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.998761622962319,0.355563232431891,0,0.355563232431891,"nonAngiogenic",0.00123837703768124,0.998761622962319
"d41c8245-bc6e-42e5-ad70-58a3ebd5546b.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999946197159634,0.63495206331529,0,0.63495206331529,"nonAngiogenic",5.38028403658057e-05,0.999946197159634
"ca7a912e-f2d1-455f-8b5f-3104cc02ac9e.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999964568506981,0.672152385969866,0,0.672152385969866,"nonAngiogenic",3.54314930188643e-05,0.999964568506981
"32d18d49-fe09-4929-a5f6-34150f155c3e.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999983097442154,0.738063611232123,0,0.738063611232123,"nonAngiogenic",1.69025578459665e-05,0.999983097442154
"920bd9a2-a731-4cb2-874f-14cf09d0d01f.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.998188389645904,0.321635965138101,0,0.321635965138101,"nonAngiogenic",0.00181161035409622,0.998188389645904
"43c987b0-278d-49c9-a332-8cfcc9bdb05a.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999956576814911,0.654039450509868,0,0.654039450509868,"nonAngiogenic",4.34231850886358e-05,0.999956576814911
