"sample","assigned_subtype","max_score","C1_immL","C2_diffL","C3_profL","C4_mescL"
"41f62365-a65b-4a80-aaab-323f676f67d9.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.193178051036929,0.193178051036929,-0.0919732251808197,-0.242185896941698,0.0419274061071147
"2e844d1a-874f-4972-820e-1d4f89575463.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.509732732189559,0.509732732189559,-0.137637743489748,-0.584894038772884,-0.0769439074147655
"87d7f834-2064-4e3b-9c41-8fbff133f285.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.114049026085486,-0.00960011386347058,0.114049026085486,-0.256754416657277,-0.196519454641419
"d1cc1450-ae0d-42ea-b45f-dd4f8bcbd399.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.13707004679077,0.13707004679077,0.091930971155401,-0.292253206857902,-0.118220898098124
"59b900d7-691a-423c-a590-cc9e1f0735dc.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.487763754054904,-0.414033821008996,0.0691225447538701,0.487763754054904,0.126653614868672
"4e56c9e5-1d7e-4329-96b3-1825863e4fc0.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.341492115547701,0.341492115547701,0.0370916954605612,-0.426733600991561,-0.261769820842946
"c1727ac9-43ce-4f5f-b785-7d9f85f944bb.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.426518772646673,0.426518772646673,-0.128444972545633,-0.443246991810133,-0.0531367310509243
"2e2a3b0d-9b35-47ef-bfa8-98c2519cff9c.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.58372034064155,0.392916298488344,-0.486333454387411,-0.120635307757542,0.58372034064155
"3f97103b-9c36-40df-b3d3-88e9b118f5ce.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.518105477900405,0.0541136885241041,-0.365766114777205,0.19389926048048,0.518105477900405
"8a8dab8f-000a-46bc-9e8e-de80237aed4c.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.331270150814996,-0.335010793308149,0.331270150814996,0.0958104024955077,-0.33768206294515
"791c5e20-ea2c-483e-b409-bea457466497.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.60136762185467,0.60136762185467,-0.332419682695992,-0.463824848923338,0.121431314233527
"e790bff9-6d2d-48b7-af55-b1029378322e.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.45094515576167,0.406784290992332,-0.426164834139237,-0.0918238466875812,0.45094515576167
"774c4255-87c8-4e0d-9f23-64ac32174a82.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.489311547750868,-0.583919527585205,0.489311547750868,0.449848330298951,-0.447947344075245
"7d14ddef-7a1b-4515-9536-3fc4a9b85702.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.208543689176447,0.16208583645173,-0.141102425314343,-0.123083224115334,0.208543689176447
"9b68eedc-cd12-4d48-865c-d69aec556dd4.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.618152327974238,0.618152327974238,-0.226825168187701,-0.624581833439092,0.0437079313023728
"f0cdf1bd-137e-42cf-a98f-dc9dd37ae19d.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.138104010129105,-0.175534921096173,0.029415695769238,0.122678845709067,0.138104010129105
"57bfee10-7547-4a15-a774-23ea7e6cf5e9.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.296273862403112,0.296273862403112,-0.0256617591951988,-0.385813619731591,-0.0332648867592203
"d0f28c51-328f-4573-a872-a3ef811d18ca.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.144524111814826,0.0407774295321516,0.144524111814826,-0.147952607295565,-0.218394436108953
