"sample","assigned_subtype","max_score","DIF","IMR","MES","PRO"
"c0b634eb-856b-491e-ab86-3088950176d9.rna_seq.augmented_star_gene_counts.tsv","PRO",0.652045969459693,0.512467992420248,0.651735245837448,0.513131762266898,0.652045969459693
"bbb907c3-ad29-4255-9b4c-764d052db122.rna_seq.augmented_star_gene_counts.tsv","PRO",0.575407229354475,0.486593698299772,0.485783093058427,0.400639939503943,0.575407229354475
"c0e46d22-7732-4048-b5e9-7e631f7a797a.rna_seq.augmented_star_gene_counts.tsv","DIF",0.720531871094913,0.720531871094913,0.61634229418009,0.492915122826904,0.297669491776056
"391b894d-7639-4e12-97f1-e189233505ff.rna_seq.augmented_star_gene_counts.tsv","PRO",0.780130253529331,0.253512300703224,0.209643182901071,0.404868194090083,0.780130253529331
"fcd1465c-ddbb-438c-81c9-9be12b5327af.rna_seq.augmented_star_gene_counts.tsv","DIF",0.881105961857622,0.881105961857622,0.679612272676962,0.107368189275818,0.0921765326033346
"7a647483-f972-492c-972d-63b7eff7beff.rna_seq.augmented_star_gene_counts.tsv","PRO",0.572621835435336,0.544870383854022,0.553279501602598,0.270826488215248,0.572621835435336
"7bac05ec-f793-4b99-b1d1-c848f0c69b60.rna_seq.augmented_star_gene_counts.tsv","IMR",0.658536233462411,0.614628401485945,0.658536233462411,0.578999706204595,0.42614860950424
"cf8f83cf-db75-479f-8f27-f0d74f262c91.rna_seq.augmented_star_gene_counts.tsv","DIF",0.855134532007279,0.855134532007279,0.542112619721793,0.727337611372658,0.382931133514038
"253e8a92-35ff-45b4-bf43-8f52d62ca993.rna_seq.augmented_star_gene_counts.tsv","MES",0.763060859696731,0.563168938104893,0.677665092178079,0.763060859696731,0.330413754020108
"85db4a2d-ca76-4a24-8f69-c4ae6a781879.rna_seq.augmented_star_gene_counts.tsv","PRO",0.901971672561012,0.36605520816454,0.130642358661846,0.424203242589137,0.901971672561012
