"sample","assigned_subtype","max_score","C1","C2","C4","C5"
"bba445df-c6f7-4257-9093-d4ea69db84a3.rna_seq.augmented_star_gene_counts.tsv","C4",0.568773314909031,-0.595506062079824,0.0281236095929385,0.568773314909031,-0.749944797012048
"d563b5ea-0724-4d07-9b31-9713d6edd332.rna_seq.augmented_star_gene_counts.tsv","C4",6.3636871590222,-1.04426923682585,-0.826729978772317,6.3636871590222,-0.517187370076008
"6ac60ab5-8d16-4e62-9122-0b4d796b9bc0.rna_seq.augmented_star_gene_counts.tsv","C5",0.797659461559808,0.0355439840660453,-0.720525157122262,-0.0158441527770157,0.797659461559808
"fa8ad93c-f08b-4227-9be1-419b5353b160.rna_seq.augmented_star_gene_counts.tsv","C2",1.08922438285198,-0.800521061693485,1.08922438285198,0.627157001615407,-0.2800028275003
"980e31f1-5128-485e-befe-f68e1df82adb.rna_seq.augmented_star_gene_counts.tsv","C1",0.725878579961296,0.725878579961296,0.367113168683416,-0.825955962770662,-0.099038868040413
"e4d2a83e-41fd-44b4-9d2d-80cb3617cfdd.rna_seq.augmented_star_gene_counts.tsv","C1",1.7951253286317,1.7951253286317,1.03960571875445,-1.64872574234725,-0.958506002481944
"34e59c84-b0d2-4373-9a9c-b265b828631e.rna_seq.augmented_star_gene_counts.tsv","C2",1.25439197401819,-0.960576774095524,1.25439197401819,1.1009817284504,-1.28799020384882
"07742557-d413-4ab1-a624-6a003ba346be.rna_seq.augmented_star_gene_counts.tsv","C1",0.118014402388245,0.118014402388245,0.0590298317109751,-0.0274669505266819,-0.598873455559002
"ecd6ce37-bdda-445f-b855-bc00794f03b1.rna_seq.augmented_star_gene_counts.tsv","C2",1.0705524829331,-0.409902725791149,1.0705524829331,0.380486597611786,-1.0459093402518
"41f62365-a65b-4a80-aaab-323f676f67d9.rna_seq.augmented_star_gene_counts.tsv","C2",0.602954627927563,-0.139772028570247,0.602954627927563,0.244176492929896,-0.653756755995831
"2e844d1a-874f-4972-820e-1d4f89575463.rna_seq.augmented_star_gene_counts.tsv","C2",2.45972966256988,-0.677952768820563,2.45972966256988,0.631287980046342,-1.45030930050129
"87d7f834-2064-4e3b-9c41-8fbff133f285.rna_seq.augmented_star_gene_counts.tsv","C2",0.506173098954207,-0.433498167224932,0.506173098954207,0.385476477100276,-0.16207549373651
"d1cc1450-ae0d-42ea-b45f-dd4f8bcbd399.rna_seq.augmented_star_gene_counts.tsv","C4",0.602788418009442,-0.603188809730285,-0.0711286769199482,0.602788418009442,-0.318354146117657
"59b900d7-691a-423c-a590-cc9e1f0735dc.rna_seq.augmented_star_gene_counts.tsv","C5",1.19134466107474,0.514362843360181,-1.07776387136761,-0.633996416728461,1.19134466107474
"4e56c9e5-1d7e-4329-96b3-1825863e4fc0.rna_seq.augmented_star_gene_counts.tsv","C2",0.684984149336084,-0.589173627168282,0.684984149336084,0.428024078728995,-0.0172437872820747
"c1727ac9-43ce-4f5f-b785-7d9f85f944bb.rna_seq.augmented_star_gene_counts.tsv","C2",1.04998232133204,-0.503184810537725,1.04998232133204,0.344444244666888,-0.630067253011984
"2e2a3b0d-9b35-47ef-bfa8-98c2519cff9c.rna_seq.augmented_star_gene_counts.tsv","C1",1.36713026649238,1.36713026649238,0.546023910204472,-1.50185685801035,-0.292996429980289
"3f97103b-9c36-40df-b3d3-88e9b118f5ce.rna_seq.augmented_star_gene_counts.tsv","C1",2.36786561195717,2.36786561195717,-0.205102478942059,-2.09045619887013,-0.0859530759580057
"8a8dab8f-000a-46bc-9e8e-de80237aed4c.rna_seq.augmented_star_gene_counts.tsv","C4",0.924270175487754,-0.730390613508967,-0.48769116676055,0.924270175487754,0.464065046186651
"791c5e20-ea2c-483e-b409-bea457466497.rna_seq.augmented_star_gene_counts.tsv","C2",0.730299789537661,-0.300155167394553,0.730299789537661,0.149920261381346,-0.867243040991957
"e790bff9-6d2d-48b7-af55-b1029378322e.rna_seq.augmented_star_gene_counts.tsv","C1",1.26998328498337,1.26998328498337,0.42412886208599,-0.994080413574994,-1.29882001963462
"774c4255-87c8-4e0d-9f23-64ac32174a82.rna_seq.augmented_star_gene_counts.tsv","C5",1.90765673465036,-0.918750322005138,-1.29519344078249,0.549221881121247,1.90765673465036
"7d14ddef-7a1b-4515-9536-3fc4a9b85702.rna_seq.augmented_star_gene_counts.tsv","C4",0.181640326719486,-0.25200631221129,-0.481295732574929,0.181640326719486,-0.187828311751849
"9b68eedc-cd12-4d48-865c-d69aec556dd4.rna_seq.augmented_star_gene_counts.tsv","C2",2.61274280116554,-0.688044983418063,2.61274280116554,0.395635440609564,-1.17544275535436
"f0cdf1bd-137e-42cf-a98f-dc9dd37ae19d.rna_seq.augmented_star_gene_counts.tsv","C1",0.130277113966769,0.130277113966769,-0.0167392997286589,0.0201851283291148,-0.135317187262125
"57bfee10-7547-4a15-a774-23ea7e6cf5e9.rna_seq.augmented_star_gene_counts.tsv","C4",0.59117576055716,-0.619789873728755,0.0265961722175612,0.59117576055716,-0.143093618102504
"d0f28c51-328f-4573-a872-a3ef811d18ca.rna_seq.augmented_star_gene_counts.tsv","C4",0.756172496198384,-0.869155485448524,-0.603927587097422,0.756172496198384,0.06135934895783
"36e1390b-65ee-499f-8247-df984c24547f.rna_seq.augmented_star_gene_counts.tsv","C1",2.0878158166288,2.0878158166288,1.1723274510277,-1.834416047492,-1.17937597013408
"73fb7bab-b6f9-4411-a0f2-48f884eb5679.rna_seq.augmented_star_gene_counts.tsv","C1",0.682489455633726,0.682489455633726,-0.0610266081530867,-0.31257582325427,-1.20941738724042
"c6996478-e874-456e-ad0c-296658d8baa2.rna_seq.augmented_star_gene_counts.tsv","C1",1.0358222515062,1.0358222515062,-0.548471545158751,-1.14252650572198,0.259849542239165
"0f3919e2-e4d0-4394-9cba-88b8653694a0.rna_seq.augmented_star_gene_counts.tsv","C5",1.35255215716232,-0.519891604610918,-1.1508825223675,0.368149352078418,1.35255215716232
