cluster,miRNA,mean_in_cluster,mean_other_clusters,log2fc_vs_rest,p_value,fdr
2,hsa-mir-518b,-1.2713950820554643,-0.7823626864778284,-0.4890323955776359,0.022302721248512295,0.0877082940074692
2,hsa-mir-320b-2,3.481079238059248,3.9713338231334796,-0.4902545850742315,0.002432664434427301,0.014484566861475532
2,hsa-mir-518c,-1.5081270889424003,-1.0174395385611243,-0.490687550381276,0.06543169398999969,0.20338837340952562
2,hsa-mir-506,1.3408008388452923,1.832775769824817,-0.4919749309795247,0.4699602078949292,0.6493692863738615
2,hsa-mir-221,7.968801071142279,8.461845315393385,-0.4930442442511058,1.4912635183437318e-4,0.0014099218718886192
2,hsa-mir-449c,-0.6064863651314653,-0.10800991492851203,-0.4984764502029532,0.10893369837891397,0.2940079056593526
2,hsa-mir-374b,2.2090265383428367,2.716776240965096,-0.5077497026222595,0.001160778330660963,0.007873105199265661
2,hsa-mir-4772,0.21955324748145108,0.7275938290471952,-0.508040581565744,0.0029022542713375912,0.01676858023439497
2,hsa-mir-192,5.565660691345651,6.083459192858854,-0.5177985015132025,0.0012471092728443477,0.00834974448771323
2,hsa-mir-664a,5.559132399582075,6.081497257181776,-0.5223648575997011,3.124288389809192e-5,3.868166577859e-4
2,hsa-mir-513a-2,-1.1884941377828806,-0.6627099522488537,-0.525784185534027,0.01001868085590417,0.04637727636560981
2,hsa-mir-126,6.220691619012032,6.746908051252648,-0.5262164322406155,1.6436498859173954e-4,0.0015353855221743335
2,hsa-mir-374a,0.48559408483100064,1.0160616746755688,-0.5304675898445682,0.011520269945475739,0.05120119975766995
2,hsa-mir-155,7.267013698600623,7.803438269049002,-0.5364245704483785,0.003961064593846277,0.02183484369752718
2,hsa-mir-34c,3.682354322653967,4.220772752738354,-0.5384184300843868,0.023472399967147502,0.09154235987187526
2,hsa-mir-320b-1,2.7926330539985953,3.3318914212494795,-0.5392583672508842,7.833842023020377e-4,0.005631702099498519
2,hsa-mir-23a,10.724747969369941,11.273263841238384,-0.5485158718684424,2.359597671486941e-8,6.69267703185387e-7
2,hsa-mir-30b,5.4879546886237245,6.040722455145806,-0.5527677665220816,6.806216292179476e-5,7.272395490273961e-4
2,hsa-mir-513c,0.408894651053587,0.9818422405101813,-0.5729475894565943,0.2143079793189771,0.4617685742232103
2,hsa-mir-224,4.550523296686693,5.130401420853494,-0.5798781241668012,0.011311015261192891,0.050559265923956764
2,hsa-mir-449b,0.9512521830332352,1.533717543547974,-0.5824653605147387,0.0635633680912014,0.19939677074861167
2,hsa-mir-222,6.4773349819950266,7.063273589135393,-0.585938607140366,2.175812434389864e-6,3.4285529269173615e-5
2,hsa-mir-517b,-1.3255540458542332,-0.7386394016322844,-0.5869146442219488,0.2599303064994408,0.5165559135890234
2,hsa-mir-517a,-1.3255540458542332,-0.7375145852330917,-0.5880394606211415,0.25906915890455057,0.5165559135890234
2,hsa-mir-526b,-1.2504729501731855,-0.6609061553561004,-0.5895667948170851,0.13565315730846245,0.3463484867450105
2,hsa-mir-3653,2.9729203174431396,3.5760710975368033,-0.6031507800936637,2.435957444107759e-4,0.002076553886780385
2,hsa-mir-320c-2,0.6591657271365868,1.2730078285360817,-0.6138421013994949,4.315416211743867e-5,5.023917380836143e-4
2,hsa-mir-6843,0.03508371286718228,0.6589797781496378,-0.6238960652824556,4.777450495395216e-4,0.003617875132435212
2,hsa-mir-3622b,-0.8325031238774543,-0.20721570774097467,-0.6252874161364796,5.2198324879158105e-5,5.900680203730917e-4
2,hsa-mir-509-2,4.311747477575137,4.940018519410378,-0.6282710418352409,0.2628533653500715,0.5177414772046862
2,hsa-mir-508,6.1457491415492385,6.774762286755555,-0.6290131452063168,0.33071940066490124,0.5688690462017898
2,hsa-mir-10a,12.581667969873743,13.218242332786152,-0.636574362912409,0.001479880675089015,0.00950046853143565
2,hsa-let-7b,15.513821589147236,16.16060120884971,-0.6467796197024729,1.3658881998803232e-6,2.3160712954492436e-5
2,hsa-mir-514a-1,0.08772941762633829,0.7361165223707343,-0.6483871047443961,0.46636542956093935,0.6478451203161757
2,hsa-let-7g,7.226130384453527,7.880447208991176,-0.6543168245376485,5.22520614136402e-7,9.820869374129963e-6
2,hsa-mir-10b,13.831865202880996,14.48808636268713,-0.6562211598061332,6.822755196800063e-4,0.00504927134770064
2,hsa-mir-195,2.971375164115622,3.627714132259989,-0.6563389681443668,5.823759125269653e-7,1.0815552661215071e-5
2,hsa-mir-514a-2,0.08385232409091897,0.7565610272927832,-0.6727087032018642,0.27016116880399366,0.5266195180684601
2,hsa-mir-320d-2,-0.10164893405985181,0.571072524989726,-0.6727214590495778,6.657182078143652e-5,7.162209684071792e-4
2,hsa-mir-509-3,4.450043421988866,5.127110743820429,-0.6770673218315633,0.1862325692181611,0.43104274181058055
2,hsa-mir-642a,0.7642185921158671,1.4481283215471619,-0.6839097294312948,3.2883987585418084e-5,4.0392929632482056e-4
2,hsa-mir-509-1,4.267749484505319,4.959246446613085,-0.6914969621077658,0.20616784304292451,0.4562011846056202
2,hsa-mir-151b,0.24598882934655192,0.9609985150294328,-0.7150096856828809,6.509342128874688e-7,1.1807643861679668e-5
2,hsa-mir-101-1,5.230215294457821,5.951336571021369,-0.7211212765635482,1.1888768797999678e-6,2.060719924986611e-5
2,hsa-mir-101-2,5.250388025114697,5.975363057434084,-0.7249750323193869,2.0200926909523533e-6,3.248808863799661e-5
2,hsa-mir-141,6.3417724769463275,7.073919717271051,-0.7321472403247231,8.249952157636808e-5,8.637533802626457e-4
2,hsa-mir-449a,0.03184768818966445,0.7785638131862646,-0.7467161249966001,0.02315609625843021,0.09053511319085494
2,hsa-mir-16-2,4.747672099961312,5.497888451585422,-0.7502163516241103,1.5631513475810974e-9,5.6709676795965396e-8
2,hsa-mir-29c,5.380932888094445,6.142486320863855,-0.7615534327694107,3.3422217153181014e-7,6.771254384280828e-6
2,hsa-mir-514a-3,-0.030695173924012747,0.7517982255737313,-0.7824933994977441,0.07313097004332524,0.22173599043169262
2,hsa-mir-16-1,4.632956682481063,5.415839559092189,-0.7828828766111258,1.2440313598339294e-9,4.8517223033523247e-8
2,hsa-mir-142,1.393827428743412,2.1782438620639053,-0.7844164333204933,1.0236813379833613e-4,0.0010107233463633187
2,hsa-mir-146a,4.034983513552077,4.834444329927006,-0.7994608163749293,1.5456674152261182e-5,1.9764271866825776e-4
2,hsa-mir-378c,3.306357910229871,4.121212212473858,-0.8148543022439871,9.49726507457835e-8,2.2113035099018248e-6
2,hsa-mir-497,2.340128221888003,3.163292897368992,-0.8231646754809891,6.778578668478924e-9,2.3499072717393602e-7
2,hsa-mir-29a,12.03778511057741,12.862636536333092,-0.824851425755682,1.3464465669093344e-11,7.001522147928539e-10
2,hsa-mir-31,1.772183089943196,2.6307458433211357,-0.8585627533779396,1.6684771234501153e-4,0.0015493001860608215
2,hsa-mir-3622a,2.5994682159500413,3.5818590680618336,-0.9823908521117923,5.9443582941587115e-8,1.545533156481265e-6
2,hsa-mir-29b-1,2.6413547323934674,3.6604192211366233,-1.019064488743156,5.624662695436915e-12,3.814988610818081e-10
2,hsa-mir-3607,2.9243182440787483,4.20822732373507,-1.2839090796563215,1.3829656983932345e-10,5.67743813024591e-9
3,hsa-mir-150,9.796202443459137,8.733471436007484,1.062731007451653,4.4646731343573926e-13,3.0282130824337095e-11
3,hsa-mir-31,2.9559135016224602,2.113305451798616,0.8426080498238444,1.0793955481588576e-6,1.772481110660861e-5
3,hsa-mir-7641-1,2.5108707705122555,1.738136663218885,0.7727341072933704,1.4245217300931755e-8,3.7037564982422564e-7
3,hsa-mir-1247,5.718049840275594,5.038341325436917,0.6797085148386763,1.3098057223021472e-6,2.063936289688232e-5
3,hsa-mir-3607,4.362737019080064,3.696725569324654,0.6660114497554099,6.098636728480763e-5,6.098636728480763e-4
3,hsa-mir-3653,3.8358305353917297,3.1877967927783266,0.6480337426134031,5.13897227384872e-8,1.1789406981182357e-6
3,hsa-mir-146a,5.052891816698117,4.4193009791025695,0.6335908375955475,3.665287859822593e-7,6.497555751503688e-6
3,hsa-let-7b,16.397109099538724,15.777479490019742,0.6196296095189826,2.416947660277741e-10,8.977234166745895e-9
3,hsa-mir-3651,2.5144916635482057,1.898680752615718,0.6158109109324879,5.665184773599151e-7,9.606182876972472e-6
3,hsa-mir-4772,0.9597480136215781,0.38998669809660996,0.5697613155249681,1.7325503087212454e-5,2.0169988668695098e-4
3,hsa-mir-3622a,3.722806863514564,3.172514668128482,0.5502921953860822,5.283342424555844e-5,5.351957261238387e-4
3,hsa-mir-7641-2,1.7708323408410591,1.262426946756948,0.5084053940841111,4.240957314728541e-4,0.003180717986046406
3,hsa-mir-7702,2.192390019674321,1.721807361986151,0.47058265768817,0.0013967683715611168,0.008412967797819854
3,hsa-mir-320b-2,4.149429308013053,3.6818598291448006,0.4675694788682523,1.5865799089998e-4,0.0013524943486555672
3,hsa-mir-1249,2.653610826851934,2.1879081701248806,0.46570265672705347,5.646784398524499e-7,9.606182876972472e-6
3,hsa-mir-7846,-0.08689729165723258,-0.5507802958563832,0.46388300419915063,2.460455133582534e-5,2.741650005991966e-4
3,hsa-mir-155,7.966422698422603,7.5119102764479875,0.4545124219746155,7.532539752819094e-5,7.247231495665974e-4
3,hsa-mir-3622b,-0.06668001407500501,-0.5079429996843375,0.4412629856093325,1.823866122730692e-4,0.0015215139847379034
3,hsa-mir-4449,3.7025888884457987,3.2765632850694693,0.42602560337632944,4.4136004528503583e-4,0.0032631358798324924
3,hsa-mir-320b-1,3.473567954213033,3.056350397537959,0.417217556675074,9.32107294047006e-4,0.006084047609679202
3,hsa-mir-6842,3.3753224376368802,2.972131739590054,0.40319069804682606,6.3055021811131875e-6,8.129407770691382e-5
3,hsa-mir-15b,10.881013679683454,10.479115435317139,0.4018982443663148,1.1718359260280472e-6,1.9042333797955766e-5
3,hsa-mir-642a,1.5554648760792718,1.1558715608440537,0.399593315235218,0.0014285812347830087,0.008543984210102785
3,hsa-mir-1248,3.7396907652356113,3.3405365553715676,0.3991542098640437,2.53067610686143e-4,0.0020399916676592275
3,hsa-mir-27a,9.454493269008237,9.058155267058748,0.39633800194948954,1.510281888202485e-6,2.2654228323037276e-5
3,hsa-mir-5193,0.04940446364430819,-0.3463333284494696,0.3957377920937778,1.123814873293984e-4,9.961086376923949e-4
3,hsa-mir-378a,12.090580566181721,11.69900665097965,0.39157391520207163,4.6170174702779766e-4,0.0033717206289612645
3,hsa-mir-3928,3.473651020577388,3.084493391452147,0.3891576291252412,9.944907230640845e-5,8.967662011444925e-4
3,hsa-mir-378c,4.199048406245426,3.812570018161699,0.38647838808372725,0.0028325415768872047,0.01572514185033466
3,hsa-mir-29a,12.938040377735913,12.552885774489422,0.385154603246491,1.6149380430243855e-4,0.0013691866016945877
3,hsa-mir-27b,9.973840108771666,9.588834970118068,0.3850051386535984,5.595797159937528e-6,7.335666865128188e-5
3,hsa-mir-320c-2,1.3817956803872165,1.000851597225772,0.38094408316144435,0.0010673890136848178,0.006852373915013645
3,hsa-mir-605,0.42595915736249407,0.0487673833494666,0.37719177401302745,5.959670461908806e-4,0.0041813496776959965
3,hsa-mir-224,5.240639328274114,4.867398301159893,0.37324102711422125,0.030858710647865866,0.11066572094407069
3,hsa-mir-320d-2,0.6587604140920998,0.2977431016193832,0.3610173124727166,0.010395885517788887,0.04555500395435579
3,hsa-mir-7845,0.7550808644779671,0.399669417028533,0.3554114474494341,2.8190662137511684e-4,0.0022323570017521942
3,hsa-let-7i,8.871604385086822,8.528725619134596,0.34287876595222677,1.42573024183594e-5,1.710876290203128e-4
3,hsa-mir-4443,1.1029548219400325,0.7634716469606625,0.33948317497937,0.0016477462430288929,0.009699940147641783
3,hsa-mir-3610,2.2589272340380564,1.924844164420446,0.3340830696176105,1.0393256495603568e-4,9.26484579036661e-4
3,hsa-let-7d,12.738430103216478,12.406490801798697,0.3319393014177816,0.0017947329565551455,0.010525501549721906
3,hsa-mir-6718,0.42007950461883853,0.09741126798009365,0.3226682366387449,0.008408306888379718,0.03857929042903635
3,hsa-mir-6843,0.7335037062578904,0.41086421952352237,0.32263948673436804,0.011177530959354132,0.04830179583543614
3,hsa-mir-320d-1,0.8016126186468843,0.480081479495668,0.3215311391512163,0.021235280030576807,0.0816399681025966
3,hsa-mir-193a,11.12490611997847,10.80737491101341,0.31753120896505926,1.6170994019281758e-5,1.911117475006026e-4
3,hsa-mir-639,1.1755157528806226,0.8623788584346468,0.3131368944459758,6.130563404751711e-4,0.004269499514023513
3,hsa-mir-4632,0.07213108610887817,-0.24035764940677073,0.31248873551564893,0.0031045151602706483,0.017113228445308167
